Tipo_Conversion,Nivel_Complejidad,Principales_Problemas,Mejores_Herramientas,Tiempo_Estimado,Tasa_Exito
LaTeX a EPUB (reflowable),9.0,"Pérdida de formato matemático, referencias cruzadas rotas","Pandoc + tex4ht, Calibre (manual)",2-4 horas por documento,60-80%
PDF escaneado OCR tablas complejas,8.0,"Reconocimiento erróneo de bordes de tabla, celdas fusionadas","ABBYY FineReader, Adobe Acrobat Pro",1-2 horas por página,70-90%
Documentos CAD a PDF vectorial,9.5,"Vectores convertidos a bitmap, pérdida de escalabilidad","AutoCAD nativo, Adobe Illustrator",30 min - 2 horas,90-95%
Fórmulas matemáticas complejas,8.5,"Símbolos matemáticos no reconocidos, estructuras complejas","Pandoc, MathType, tex4ht",1-3 horas por documento,70-85%
Manuscritos técnicos OCR,7.5,"Calidad de imagen baja, terminología técnica no estándar","ABBYY FineReader, EasyOCR + preprocesado",2-5 horas por página,50-80%
PDF con gráficos vectoriales a Word,7.0,"Gráficos embebidos, pérdida de layers y transparencias","Adobe Acrobat Pro, Illustrator + InDesign",1-2 horas por documento,75-90%
Documentos multicolumna científicos,8.0,"Detección incorrecta de columnas, flujo de texto roto","ABBYY FineReader, Adobe Acrobat Pro",1-3 horas por documento,80-95%
Presentaciones con multimedia,6.5,"Elementos interactivos perdidos, sincronización temporal","Adobe Creative Suite, conversión manual",3-6 horas por presentación,40-70%
Formularios interactivos PDF,5.5,"Campos dinámicos a estáticos, validaciones perdidas","Adobe Acrobat Pro, PDFelement",30 min - 1 hora,95-98%
"Escritura no latina (árabe, chino)",6.0,"Direccionalidad del texto, ligaduras específicas del idioma","Google Cloud Vision API, ABBYY FineReader",1-2 horas por documento,85-95%
